Alppiharju,Alppiharjulaisten
Aluemeri,Aluemeriläisten
Eira,Eiralaisten
Etu-Töölö,Etu-Töölöläisten
Haaga,Haagalaisten
Hermanni,Hermannilaisten
Herttoniemi,Herttoniemeläisten
Kaarela,Kaarelalaisten
Kaartinkaupunki,Kaartinkaupunkilaisten
Kaivopuisto,Kaivopuistolaisten
Kallio,Kalliolaisten
Kamppi,Kamppilaisten
Karhusaari,Karhusaarilaisten
Katajanokka,Katajanokkalaisten
Kluuvi,Kluuvilaisten
Konala,Konalalaisten
Koskela,Koskelalaisten
Kruununhaka,Kruununhakalaisten
Kulosaari,Kulosaarilaisten
Kumpula,Kumpulalaisten
Käpylä,Käpyläläisten
Laajasalo,Laajasalolaisten
Laakso,Laaksolaisten
Lauttasaari,Lauttasaarilaisten
Länsisatama,Länsisatamalaisten
Malmi,Malmilaisten
Meilahti,Meilahtilaisten
Mellunkylä,Mellunkyläläisten
Munkkiniemi,Munkkiniemiläisten
Mustikkamaa-Korkeasaari,Mustikkamaa-Korkeasaarilaisten
Oulunkylä,Oulunkyläläisten
Pakila,Pakilalaisten
Pasila,Pasilalaisten
Pitäjänmäki,Pitäjänmäkilaisten
Pukinmäki,Pukinmäkilaisten
Punavuori,Punavuorilaisten
Ruskeasuo,Ruskeasuolaisten
Salmenkallio,Salmenkalliolaisten
Santahamina,Santahaminalaisten
Suomenlinna,Suomenlinnalaisten
Suurmetsä,Suurmetsäläisten
Suutarila,Suutarilalaisten
Sörnäinen,Sörnäisläisten
Taka-Töölö,Taka-Töölöläisten
Talosaari,Talosaarilaisten
Tammisalo,Tammisalolaisten
Tapaninkylä,Tapaninkyläläisten
Toukola,Toukolalaisten
Tuomarinkylä,Tuomarinkyläläisten
Ulkosaaret,Ulkosaarilaisten
Ullanlinna,Ullanlinnalaisten
Ultuna,Ultunalaisten
Vallila,Vallilalaisten
Vanhakaupunki,Vanhakaupunkilaisten
Vartiokylä,Vartiokyläläisten
Vartiosaari,Vartiosaarilaisten
Viikki,Viikkiläisten
Villinki,Villinkiläisten
Vuosaari,Vuosaarilaisten
Östersundom,Östersundomlaisten
